year,make,model,display_trim,bolt_pattern,center_bore_mm,thread_size,offset_min,offset_max,diameter_min,diameter_max,width_min,width_max,wheel_count,source,issue_types,issue_details
2018,"gmc","yukon","5.3 EcoTec3","6x139.7",78.1,"M14 x 1.5",24,27,18,22,8.5,9,3,"inherited_from_2018_SIBLING_PLATFORM","exact_safe","Specs within expected ranges"
2018,"gmc","yukon","SLE, SLT, AT4, Denali, Denali Ultimate","6x139.7",78.1,"M14x1.5",24,44,18,22,8.5,9,3,"generation_template [filled from 2018 yukon]","sibling_aggregation","Multiple trims grouped: SLE, SLT, AT4, Denali, Denali Ultimate"
2018,"gmc","yukon-xl","SLE, SLT, AT4, Denali, Denali Ultimate","6x139.7",78.1,"M14x1.5",24,44,18,22,8.5,9,3,"generation_template [filled from 2017 yukon-xl]","sibling_aggregation","Multiple trims grouped: SLE, SLT, AT4, Denali, Denali Ultimate"
2018,"honda","accord","LX, Sport, EX, EX-L, Touring","5x114.3",64.1,"M12x1.5",45,55,17,19,7,8.5,6,"cache-import","sibling_aggregation","Multiple trims grouped: LX, Sport, EX, EX-L, Touring"
2018,"honda","civic","LX, Sport, EX, EX-L, Touring, Si","5x114.3",64.1,"M12x1.5",45,55,16,18,7,8,3,"cache-import","sibling_aggregation","Multiple trims grouped: LX, Sport, EX, EX-L, Touring, Si"
2018,"honda","cr-v","LX, EX, EX-L, Touring","5x114.3",64.1,"M12x1.5",40,55,17,19,7,8,3,"cache-import","sibling_aggregation","Multiple trims grouped: LX, EX, EX-L, Touring"
2018,"honda","fit","1.5i CVT","4x100",56.1,"M12 x 1.5",48,53,15,16,6,6,3,"railway_import","plausible_shared","Multiple specs with reasonable spread"
2018,"honda","fit","LX/Sport/EX","4x100",56.1,"M12x1.5",40,53,15,16,6,6,2,"batch7-subcompacts-final","plausible_shared","Multiple specs with reasonable spread"
2018,"honda","hr-v","LX, Sport, EX, EX-L","5x114.3",64.1,"M12x1.5",45,55,17,18,7,7,2,"manual_seed_spec","sibling_aggregation","Multiple trims grouped: LX, Sport, EX, EX-L"
2018,"honda","odyssey","Base","5x120",64.1,"M14x1.5",40,55,18,19,7.5,8,2,"manual_seed_spec","plausible_shared","Multiple specs with reasonable spread"
