year,make,model,n_rows,our_union,tried,other_years_matched
1997,audi,s6,1,225/50R16 225/45R17,S6 | S6 Quattro | S6 C4,true
1999,audi,s6,1,225/45R17 245/40R18,S6 | S6 Quattro | S6 C5,true
2000,audi,s6,1,235/45R17,S6 | S6 Quattro,true
2001,audi,s6,1,235/45R17,S6 | S6 Quattro,true
2006,audi,s6,1,245/45R18 255/40R19 275/30R21,S6 | S6 Quattro,true
2012,audi,s6,1,245/45R18 255/40R19 275/30R21,S6 | S6 Quattro,true
2019,audi,s6,1,265/30R21,S6 | S6 Quattro,true
2024,audi,s6-e-tron,1,265/40R20 275/35R21,S6 e-tron | S6 E Tron,true
2026,audi,s6-e-tron,2,245/40R21 275/35R21 245/45R19 265/40R20,S6 e-tron | S6 E Tron,true
2000,audi,s8,1,215/60R16,S8 | S8 Quattro,true
2006,audi,s8,1,265/45R19,S8 | S8 Quattro,true
2010,audi,s8,1,265/35R20,S8 | S8 Quattro,true
2011,audi,s8,1,265/45R19 275/35R21 285/30R22,S8 | S8 Quattro,true
2012,audi,s8,1,265/45R19 275/35R21 285/30R22,S8 | S8 Quattro,true
2019,audi,s8,1,265/45R19 275/35R21 285/30R22,S8 | S8 Quattro,true
2021,audi,s8l,1,245/45R20,S8L,false
2022,audi,s8l,1,245/45R20,S8L,false
2023,audi,s8l,1,245/45R20,S8L,false
2024,audi,s8l,1,245/45R20,S8L,false
2025,audi,s8l,1,245/45R20,S8L,false
2026,audi,s8l,1,245/45R20,S8L,false
2024,audi,sq6-e-tron,1,245/45R20,SQ6 e-tron | SQ6 E Tron | SQ 6,true
2026,audi,sq6-e-tron,2,255/45R20 285/40R21 245/45R20,SQ6 e-tron | SQ6 E Tron | SQ 6,true
2007,audi,tt,1,225/50R17 245/40R18 255/30R20,TT Quattro | TT | TT Roadster,true
2010,audi,tt-rs,1,245/35R19 255/30R20,TT RS Quattro | TT | TT RS | TT-RS | TTRS,true
2011,audi,tt-rs,1,245/35R19 255/30R20,TT RS Quattro | TT | TT RS | TT-RS | TTRS,true
2014,audi,tt-rs,1,245/35R19 255/30R20,TT RS Quattro | TT | TT RS | TT-RS | TTRS,true
2016,audi,tt-rs,1,245/35R19 255/30R20,TT RS Quattro | TT | TT RS | TT-RS | TTRS,true
2017,audi,tt-rs,1,245/35R19 255/30R20,TT RS Quattro | TT | TT RS | TT-RS | TTRS,true
2023,audi,tt-rs,1,245/35R19 255/30R20,TT | TT RS | TT RS Quattro | TT-RS | TTRS,true
2008,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2009,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2010,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2011,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2012,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2013,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2014,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2015,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2016,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2017,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2019,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2020,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2021,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2022,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2023,audi,tt-s,1,245/40R18 255/35R19 255/30R20,TT-S | TT S | TTS,false
2016,bentley,bentayga,1,285/45R20 285/40R21 285/35R22 325/30R22 295/35R23 325/30R23,Bentayga | Bentayga 1st Gen (2020 Facelift) | Bentayga 1st,true
2019,bentley,continental-gt,1,275/35R21 315/30R21 275/35R22 315/30R22,Continental | Continental GT | Continentalgtc | Continental GT 3rd Gen | Continental GT 3rd,true
2019,bentley,flying-spur,1,275/40R20 315/35R20 275/35R21 315/30R21 275/35R22 315/30R22,Flying Spur | Continentalflyingspur | Flying Spur 3rd Gen | Flying Spur 3rd,true
2013,bmw,2-series,1,225/45R17 225/40R18,230i | M240i xDrive | 230i xDrive | M240i | 228i xDrive Gran Coupe | M235i xDrive Gran Coupe | 228i Gran Coupe | 228 xDrive Gran Coupe | M235 xDrive Gran Coupe | 228i | 228i xDrive | M235i | M235i xDrive | 228 Gran Coupe,true
2013,bmw,4-series,1,225/45R18 255/35R19,430i xDrive | 430i | 430i Gran Coupe | 430i xDrive Gran Coupe | M440i | M440i xDrive | M440i xDrive Gran Coupe | M440i Gran Coupe | 440i | 440i xDrive | 440i Gran Coupe | 440i xDrive Gran Coupe | 428i | 428i xDrive | 435i | 435i xDrive | 428i Gran Coupe | 428i xDrive Gran Coupe | 435i Gran Coupe | 435i xDrive Gran Coupe,true
2013,bmw,4-series-gran-coupe,1,215/55R17,430i Gran Coupe | 428i Gran Coupe | 430i xDrive Gran Coupe | M440i Gran Coupe | M440i xDrive Gran Coupe | 428i xDrive Gran Coupe | 435i Gran Coupe | 435i xDrive Gran Coupe | 4 Series Gran Coupe | 4 Series,true
2014,bmw,4-series-gran-coupe,1,215/55R17,430i Gran Coupe | 428i Gran Coupe | 430i xDrive Gran Coupe | M440i Gran Coupe | M440i xDrive Gran Coupe | 428i xDrive Gran Coupe | 435i Gran Coupe | 435i xDrive Gran Coupe | 4 Series Gran Coupe | 4 Series,true
