bp,make,model,years,yearFrom,yearTo,bolt,stud,bore,torqueMin,torqueMax,offset,reason
"6 X 5.5","CHEVROLET/GMC","DENALI/ FULL SIZE 4X4","1992 >","1992","2027","6 X 5.5","14 X 1.5","78.3","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","K-1500 4WD","1988-98","1988","1998","6 X 5.5","14 X 1.5","78.1","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","K-2500 4WD 6LUG","1988-00","1988","2000","6 X 5.5","14 X 1.5","78.1","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","SAFARI RWD, AWD","2003-05","2003","2005","6 X 5.5","14 X 1.5","78.1","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","SIERRA 1500 2WD, 4WD DENALI","1999-08","1999","2008","6 X 5.5","14 X 1.5","78.1","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","SUBURBAN 1500 HD 2WD 4WD","2000-08","2000","2008","6 X 5.5","14 X 1.5","78.3","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","SUBURBAN/ FULL SIZE 4X4","1971-91","1971","1991","6 X 5.5","7/16-RH","78.3","70","80","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","SUBURBAN/ TAHOE /YUKON 2X4","2000 >","2000","2027","6 X 5.5","14 X 1.5","78.3","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","TAHOE/ YUKON","1992 >","1992","2027","6 X 5.5","14 X 1.5","78.3","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","VAN EXPRESS VAN 1500 SAVANA","2003-08","2003","2008","6 X 5.5","14 X 1.5","78.3","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","VAN G-SERIES, 3/4 TON","1996-97","1996","1997","6 X 5.5","14 X 1.5","78.3","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","YUKON 1500 2WD, 4WD HYBRID 2008","2000-08","2000","2008","6 X 5.5","14 X 1.5","78.1","85","95","","make-not-in-db"
"6 X 5.5","CHEVROLET/GMC","YUKON-DENALI 2WD, 4WD 1500 2WD 4WD","1992-08","1992","2008","6 X 5.5","14 X 1.5","78.1","85","95","","make-not-in-db"
"6 X 5.5","DODGE","D-50 & RAM-50, TURBO DIESEL","1979-93","1979","1993","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","DODGE","RAIDER 4WD","1986-89","1986","1989","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","FORD","COURIER PICKUP","1977-84","1977","1984","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","HYUNDAI","ENTOURAGE","2007-08","2007","2008","6 X 5.5","12 X 1.5","95.3","75","85","","model-not-matched"
"6 X 5.5","INFINITI","QX56","2004 >","2004","2027","6 X 5.5","12 X 1.25","77.8","75","85","","model-not-matched"
"6 X 5.5","INFINITI","QX56","2004-08","2004","2008","6 X 5.5","12 X 1.25","77.8","75","85","","model-not-matched"
"6 X 5.5","ISUZU","I-280, I-290, I-350, I-370 2&4WD","2006-08","2006","2008","6 X 5.5","12 X 1.5","100","75","85","","model-not-matched"
"6 X 5.5","ISUZU","PICKUP","1980-96","1980","1996","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","MAZDA","2600 PICKUP","1977-93","1977","1993","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","MAZDA","B-2000, 2200, 2300","1977-93","1977","1993","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","MAZDA","B-2000, 2200, 2300, 2600 PICKUP","1977-93","1977","1993","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","MAZDA","SE-5 OPT.15","1977-93","1977","1993","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","MITSUBISHI","PICKUP","1983-96","1983","1996","6 X 5.5","12 X 1.5","108","75","85","","model-not-matched"
"6 X 5.5","PLYMOUTH","ARROW P/U","1979-82","1979","1982","6 X 5.5","12 X 1.5","","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","4-RUNNER","1986-02","1986","2002","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","4-RUNNER","2000 >","2000","2027","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","4-RUNNER V-6 & V-8","2003 >","2003","2027","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","4-RUNNER V-6 & V-8","2003-08","2003","2008","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","LANDCRUISER","1969-92","1969","1992","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","LANDCRUISER","1993-97","1993","1997","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","PICKUP 4WD, 4 RUNNER","1980-95","1980","1995","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 5.5","TOYOTA","T-100","1993-96","1993","1996","6 X 5.5","12 X 1.5","106","75","85","","model-not-matched"
"6 X 8.75","Dodge","M600 Motor home Chassis","1976-80","1976","1980","6 X 8.75","","","","","","model-not-matched"
"7 X 150","FORD","F150 XL HEAVY 1/2 2WD, 4WD","2004-07","2004","2007","7 X 150","14 X 2.0","87","85","95","","model-not-matched"
"7 X 150","FORD","F150 XL HEAVY DUTY","2004 >","2004","2027","7 X 150","14 X 2.0","87","85","95","","model-not-matched"
"8 X 6.5","CHEVROLET/GMC","AVALANCHE 2500, 4WD","2002-08","2002","2008","8 X 6.5","14 X 1.5","125","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","C-2500 PICKUP 2WD HD 8 LUG","1988-00","1988","2000","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","C-3500 2WD","1988-00","1988","2000","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","C-3500/C-30","1988 >","1988","2027","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","C-3500HD","2002 >","2002","2027","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","C30 & Crew Cab","1988-90","1988","1990","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","CK 2500 3500 DUALLY 2WD 4WD","1988-08","1988","2008","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","Class C Motor home","1975-87","1975","1987","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","Class C Motor home","1976 >","1976","2027","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","GMC Motor home","1972-78","1972","1978","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","K-2500 4WD 8LUG","1988-00","1988","2000","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","K-3500 4WD","1988-00","1988","2000","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","K3500/C30","1976 >","1976","2027","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","K3500/C30","1976-87","1976","1987","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","K3500/C30 4WD","1976-97","1976","1997","8 X 6.5","","","","","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","SIERRA 2500 2WD, 4WD","1999-08","1999","2008","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","SIERRA 3500 2WD, 4WD","1999-08","1999","2008","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","SUBURBAN K2500 4WD","1988-99","1988","1999","8 X 6.5","14 X 1.5","117","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","VAN EXPRESS VAN 2500, 3500 SAVANA","1997-08","1997","2008","8 X 6.5","14 X 1.5","117","85","95","","make-not-in-db"
"8 X 6.5","CHEVROLET/GMC","YUKON XL 2500 3/4 TON 2WD, 4WD","2000-06","2000","2006","8 X 6.5","14 X 1.5","116","85","95","","make-not-in-db"
"8 X 6.5","Dodge","D2/D3/D7","1973-84","1973","1984","8 X 6.5","","","","","","model-not-matched"
"8 X 6.5","Dodge","D2/D3/D7","1982 >","1982","2027","8 X 6.5","","","","","","model-not-matched"
"8 X 6.5","Dodge","D2/D3/D7","1988 >","1988","2027","8 X 6.5","","","","","","model-not-matched"
"8 X 6.5","Dodge","D2/D3/D7 4WD","1982 >","1982","2027","8 X 6.5","","","","","","model-not-matched"
"8 X 6.5","DODGE","RAM 3/4 TON TRUCK 2 & 4WD","1994 >","1994","2027","8 X 6.5","9/16-RH","122","105","115","","model-not-matched"
"8 X 6.5","DODGE","RAM 3/4 TON TRUCK 2WD, 4WD","1994 >","1994","2027","8 X 6.5","9/16-RH","122","105","115","","model-not-matched"
"8 X 6.5","Ford","E350 (8 Vent Hole)","1992 >","1992","2027","8 X 6.5","","","","","","model-not-matched"
"8 X 6.5","FORD","ECONOLINE E-250, E350 VAN","1992-08","1992","2008","8 X 6.5","9/16 OR 1/2-RH","124","","","","model-not-matched"
"8 X 6.5","FORD","F250 & F350 2WD, 4WD","1988-97","1988","1997","8 X 6.5","9/16 OR 1/2-RH","124","","","","model-not-matched"
"8 X 6.5","FORD","F250 & F350 DUALLY 2WD, 4WD","1988-98","1988","1998","8 X 6.5","43359","124","105","115","","model-not-matched"
"8 X 6.5","Ford","F350 (4 Vent Hole)","1992 >","1992","2027","8 X 6.5","","","","","","model-not-matched"
"8 X 6.5","Ford","F350 (4 Vent Hole)","1992-98","1992","1998","8 X 6.5","","","","","","model-not-matched"
"8 X 170","FORD","F250 & F350","1999-04","1999","2004","8 X 170","14 X 2.0","124","85","95","","model-not-matched"
"8 X 170","FORD","F250 & F350 2WD, 4WD","1999-04","1999","2004","8 X 170","14 X 2.0","124","85","95","","model-not-matched"
"8 X 170","FORD","F250 & F350 2WD, 4WD, SUPER DUTY","2005-08","2005","2008","8 X 170","14 X 1.5","124","85","95","","model-not-matched"
"8 X 170","FORD","F250 & F350 DUALLY 2WD, 4WD","1999-07","1999","2007","8 X 170","14 X 2.0","124","85","95","","model-not-matched"
"8 X 170","FORD","F250 & F350 SUPER DUTY","2004 >","2004","2027","8 X 170","14 X 1.5","124","85","95","","model-not-matched"
"8 X 170","Ford","F350 (course thread stud)","1999 >","1999","2027","8 X 170","","","","","","model-not-matched"
"8 X 170","Ford","F350 (fine thread stud)","2003-04","2003","2004","8 X 170","","","","","","model-not-matched"
"8 X 170","FORD","F350 HARLEY DAVISON","2005-08","2005","2008","8 X 170","14 X 1.5","124","85","95","","model-not-matched"
"8 X 200","FORD","F250 & F350 DUALLY 2WD, 4WD","2006-08","2006","2008","8 X 200","14 X 2.0","160","85","95","","model-not-matched"
"8 X 275","CHEVROLET/GMC","GM Low Pro","1990 >","1990","2027","8 X 275","","","","","","make-not-in-db"
"8 X 275","Ford","F600/F700","1990 >","1990","2027","8 X 275","","","","","","model-not-matched"
"10 X 7.25","CHEVROLET/GMC","C-3500HD","1992 >","1992","2027","10 X 7.25","","","","","","make-not-in-db"
"10 X 7.25","CHEVROLET/GMC","P30 Class A Motor Home","1977 >","1977","2027","10 X 7.25","","","","","","make-not-in-db"
