id,year,make,model,trim,source,range,our_bolt,rk_bolt,bolt,our_bore,rk_bore,bore,our_stud,rk_stud,stud,rk_ref
"a41d0f2f-6f88-4384-a7cd-c5ff545ed7bd","1997","isuzu","oasis","Base","90s-research-batch","tight","5x114.3","5x114.3","agree","64.1","70.3","disagree","M12x1.5","M12x1.5","agree","ISUZU OASIS 1997-02"
"81e6e8ec-e39d-4b00-9568-40d3744d0938","1998","isuzu","oasis","Base","90s-research-batch","tight","5x114.3","5x114.3","agree","64.1","70.3","disagree","M12x1.5","M12x1.5","agree","ISUZU OASIS 1997-02"
"784f63cb-ff4c-414f-99c0-d260c66623e7","1999","isuzu","oasis","Base","90s-research-batch","tight","5x114.3","5x114.3","agree","64.1","70.3","disagree","M12x1.5","M12x1.5","agree","ISUZU OASIS 1997-02"
"eb76b223-f681-474a-b55a-93acc3796e47","1991","isuzu","rodeo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991 > ; ISUZU RODEO, RODEO SPORT 1991-04"
"7760aea3-4313-44d7-a778-3348401b99f6","1993","isuzu","rodeo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991 > ; ISUZU RODEO, RODEO SPORT 1991-04"
"d9a81b02-84db-4074-9139-3716c109e655","1994","isuzu","rodeo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991 > ; ISUZU RODEO, RODEO SPORT 1991-04"
"90196891-71da-4ce6-8377-f235a79ae14f","1996","isuzu","rodeo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991 > ; ISUZU RODEO, RODEO SPORT 1991-04"
"73d3f416-ea07-4d92-ba89-0b8a98e44b3e","1998","isuzu","rodeo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991 > ; ISUZU RODEO, RODEO SPORT 1991-04"
"997e512d-eec9-4574-a115-63539a212ce9","1999","isuzu","rodeo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991 > ; ISUZU RODEO, RODEO SPORT 1991-04"
"f771b224-af48-48a7-b023-85628f46b463","2001","isuzu","rodeo","Base","api_import","tight","6x139.7","6x139.7","agree","106","108","disagree","M12x1.5","M12x1.5","agree","ISUZU RODEO, RODEO SPORT 1991-04"
