vehicle,category,flow,pass,failure_reason,warning,wheel_count,tire_count,bolt_pattern,min_diameter,max_diameter,sizes_searched,fitment_source
"2017 Ram 1500 Express","half-ton","lifted-4in","PASS","","","","17","","34","35","35x12.50R20",""
"2017 Ram 1500 Express","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2017 Ram 1500 Express","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2016 Toyota Tundra SR","half-ton","standard-fitment","FAIL","Wrong bolt pattern: expected 6x139.7, got 5x150","","24","","5x150","","","","dbFirst"
"2016 Toyota Tundra SR","half-ton","standard-tires","PASS","","","","100","","","","",""
"2016 Toyota Tundra SR","half-ton","package","PASS","","","","","","","","",""
"2016 Toyota Tundra SR","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2016 Toyota Tundra SR","half-ton","lifted-4in","FAIL","Tire size 33x12.50R20 (33") below min 34" for half-ton 4" lift","","","17","","34","35","33x12.50R20",""
"2016 Toyota Tundra SR","half-ton","lifted-6in","PASS","","","","17","","35","37","35x12.50R20",""
"2016 Toyota Tundra SR","half-ton","lifted-8in","PASS","","","","17","","35","37","35x12.50R20",""
"2024 Ford F-250 XLT","hd","standard-fitment","PASS","","","24","","8x170","","","","dbFirst"
"2024 Ford F-250 XLT","hd","standard-tires","PASS","","","","100","","","","",""
"2024 Ford F-250 XLT","hd","package","PASS","","","","","","","","",""
"2024 Ford F-250 XLT","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2024 Ford F-250 XLT","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2024 Ford F-250 XLT","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2024 Ford F-250 XLT","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2023 Ford F-250 Lariat","hd","standard-fitment","PASS","","","24","","8x170","","","","dbFirst"
"2023 Ford F-250 Lariat","hd","standard-tires","PASS","","","","100","","","","",""
"2023 Ford F-250 Lariat","hd","package","PASS","","","","","","","","",""
"2023 Ford F-250 Lariat","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2023 Ford F-250 Lariat","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2023 Ford F-250 Lariat","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2023 Ford F-250 Lariat","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2022 Ford F-350 King Ranch","hd","standard-fitment","PASS","","","24","","8x170","","","","dbFirst"
"2022 Ford F-350 King Ranch","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2022 Ford F-350 King Ranch","hd","package","PASS","","","","","","","","",""
"2022 Ford F-350 King Ranch","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2022 Ford F-350 King Ranch","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2022 Ford F-350 King Ranch","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2022 Ford F-350 King Ranch","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2021 Ford F-250 Platinum","hd","standard-fitment","PASS","","","24","","8x170","","","","dbFirst"
"2021 Ford F-250 Platinum","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2021 Ford F-250 Platinum","hd","package","PASS","","","","","","","","",""
"2021 Ford F-250 Platinum","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2021 Ford F-250 Platinum","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2021 Ford F-250 Platinum","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2021 Ford F-250 Platinum","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2024 Chevrolet Silverado 2500 HD LT","hd","standard-fitment","PASS","","","24","","8x180","","","","dbFirst"
"2024 Chevrolet Silverado 2500 HD LT","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2024 Chevrolet Silverado 2500 HD LT","hd","package","PASS","","","","","","","","",""
"2024 Chevrolet Silverado 2500 HD LT","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2024 Chevrolet Silverado 2500 HD LT","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2024 Chevrolet Silverado 2500 HD LT","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2024 Chevrolet Silverado 2500 HD LT","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2023 Chevrolet Silverado 2500 HD High Country","hd","standard-fitment","PASS","","","24","","8x180","","","","dbFirst"
"2023 Chevrolet Silverado 2500 HD High Country","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2023 Chevrolet Silverado 2500 HD High Country","hd","package","PASS","","","","","","","","",""
"2023 Chevrolet Silverado 2500 HD High Country","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2023 Chevrolet Silverado 2500 HD High Country","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2023 Chevrolet Silverado 2500 HD High Country","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2023 Chevrolet Silverado 2500 HD High Country","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2022 Chevrolet Silverado 3500 HD LTZ","hd","standard-fitment","PASS","","","24","","8x180","","","","dbFirst"
"2022 Chevrolet Silverado 3500 HD LTZ","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2022 Chevrolet Silverado 3500 HD LTZ","hd","package","PASS","","","","","","","","",""
"2022 Chevrolet Silverado 3500 HD LTZ","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2022 Chevrolet Silverado 3500 HD LTZ","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2022 Chevrolet Silverado 3500 HD LTZ","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2022 Chevrolet Silverado 3500 HD LTZ","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2024 GMC Sierra 2500 HD SLT","hd","standard-fitment","PASS","","","24","","8x180","","","","dbFirst"
"2024 GMC Sierra 2500 HD SLT","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2024 GMC Sierra 2500 HD SLT","hd","package","PASS","","","","","","","","",""
"2024 GMC Sierra 2500 HD SLT","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2024 GMC Sierra 2500 HD SLT","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2024 GMC Sierra 2500 HD SLT","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2024 GMC Sierra 2500 HD SLT","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
"2023 GMC Sierra 3500 HD Denali","hd","standard-fitment","PASS","","","24","","8x180","","","","dbFirst"
"2023 GMC Sierra 3500 HD Denali","hd","standard-tires","FAIL","No tire results for standard search","","","","","","","",""
"2023 GMC Sierra 3500 HD Denali","hd","package","PASS","","","","","","","","",""
"2023 GMC Sierra 3500 HD Denali","hd","lifted-2in","PASS","","","","51","","35","35","285/65R20",""
"2023 GMC Sierra 3500 HD Denali","hd","lifted-4in","PASS","","","","17","","35","35","35x12.50R20",""
"2023 GMC Sierra 3500 HD Denali","hd","lifted-6in","PASS","","","","17","","37","37","37x12.50R20",""
"2023 GMC Sierra 3500 HD Denali","hd","lifted-8in","PASS","","","","17","","37","37","37x12.50R20",""
