id,year,make,model,display_trim,raw_trim,modification_id,bolt_pattern,center_bore_mm,thread_size,offset_min_mm,offset_max_mm,oem_wheel_sizes,oem_tire_sizes,source,quality_tier,created_at,missing_fields
e560d9f6-6299-45d4-ba79-c8dc38039d43,2018,Porsche,911,GT2 RS Rear GT2 RS,GT2 RS Rear GT2 RS,ca2cd14c9a53cdf1,,,,48.00,48.00,"[""12.5x21""]","{""rear"":[""325/30ZR21""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
84c7da42-fb2d-4a22-a4fd-c33cd3239bf7,2018,Porsche,911,GT3 Front GT3,GT3 Front GT3,6792554fdff6cf19,,,,55.00,55.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
437f686c-bca9-4b7e-8fd8-8f70f629887f,2018,Porsche,911,GT3 RS Front GT3 RS,GT3 RS Front GT3 RS,1390c663bd29c24b,,,,50.00,50.00,"[""9.5x20""]","{""rear"":[],""front"":[""265/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
9aba0989-ee61-49fa-b8b7-6867cb0f7f5f,2018,Porsche,911,GT3 RS Rear GT3 RS,GT3 RS Rear GT3 RS,ed37c4216c52154e,,,,48.00,48.00,"[""12.5x21""]","{""rear"":[""325/30ZR21""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
cb0c4c3c-81bf-4888-a358-27d1abe786d4,2018,Porsche,911,GT3 Rear GT3,GT3 Rear GT3,8fcf4730259a0d22,,,,47.00,47.00,"[""12x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
e906d45f-7646-4e46-b22d-28aa0fafb801,2018,Porsche,911,Targa 4 GTS (Center Lock) Front Targa 4 GTS (Center Lock),Targa 4 GTS (Center Lock) Front Targa 4 GTS (Center Lock),a065223d20594090,,,,51.00,51.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
1309d5e5-aca6-4356-96d6-442f976b413a,2018,Porsche,911,Targa 4 GTS (Center Lock) Rear Targa 4 GTS (Center Lock),Targa 4 GTS (Center Lock) Rear Targa 4 GTS (Center Lock),029816bdcc5687b4,,,,63.00,63.00,"[""12x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
9b23716a-ecfc-4b4a-865c-f55845503581,2018,Porsche,911,Turbo (Center Lock) Front Turbo (Center Lock),Turbo (Center Lock) Front Turbo (Center Lock),c6593c0e220738b9,,,,51.00,51.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
b4126e77-8581-44d1-90d8-d6e543263662,2018,Porsche,911,Turbo (Center Lock) Rear Turbo (Center Lock),Turbo (Center Lock) Rear Turbo (Center Lock),9167d6397383c3e3,,,,56.00,56.00,"[""11.5x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
5062400a-2a9f-4f93-94f5-fa5392575719,2018,Porsche,911,Turbo S (Center Lock) Front Turbo S (Center Lock),Turbo S (Center Lock) Front Turbo S (Center Lock),15f41da41900fbc8,,,,51.00,51.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
e718cd3f-8873-4543-b684-7981f317bb2a,2018,Porsche,911,Turbo S (Center Lock) Rear Turbo S (Center Lock),Turbo S (Center Lock) Rear Turbo S (Center Lock),3ed4bd270811e174,,,,56.00,56.00,"[""11.5x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
623d84bb-90a5-4d81-8a30-3cd8903c4225,2018,Porsche,911,Turbo S Exclusive Series (Center Lock) Front Turbo S Exclusive Series (Center Lock),Turbo S Exclusive Series (Center Lock) Front Turbo S Exclusive Series (Center Lock),ccf0a33300813e7f,,,,51.00,51.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
efb8c63d-45cb-48c0-a40b-d5deddcdd96d,2018,Porsche,911,Turbo S Exclusive Series (Center Lock) Rear Turbo S Exclusive Series (Center Lock),Turbo S Exclusive Series (Center Lock) Rear Turbo S Exclusive Series (Center Lock),bff691911ae3ac87,,,,56.00,56.00,"[""11.5x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
