id,year,make,model,display_trim,bolt_pattern,center_bore_mm,source,quality_tier
ce56838b-717d-49eb-b97f-d3860a4c468f,2018,Lamborghini,Aventador,LP740-4 S (Center Lock) Rear LP740-4 S (Center Lock),,70.0,tgp_solutions,unknown
d22815ac-e792-4195-b034-a97963ef7214,2018,Lamborghini,Aventador,LP740-4 S (Center Lock) Front LP740-4 S (Center Lock),,57.0,tgp_solutions,unknown
17f9a270-df97-46b5-b045-a2858db4ff4e,2018,Lamborghini,Huracan,Performante (Center Lock) Rear Performante (Center Lock),,66.0,tgp_solutions,unknown
9f17faae-f31c-4b2e-9d3e-3b76339ba1f0,2018,Lamborghini,Huracan,Performante (Center Lock) Front Performante (Center Lock),,57.0,tgp_solutions,unknown
d74a5a6a-b88e-4182-94ae-1d979d5af32c,2018,Lotus,Evora,Sport 410 Rear Sport 410,,,deprecated-staggered-split,unknown
a541f9be-c1b5-4398-81e4-17372d454ae8,2018,Lotus,Evora,Sport 410 Front Sport 410,,,deprecated-staggered-split,unknown
1e032569-83be-4633-861f-2ba43857b42a,2018,Lotus,Evora,Sport 410,5x114.3,,merged-staggered,unknown
57c24608-7acb-4d9e-a48b-d1c55871e42c,2018,Mercedes-Benz Minivans,Metris,(Steel Wheels),5x112,,tgp_solutions,unknown
3a04571e-80e3-48c8-8de0-c342c88a426a,2018,Mercedes-Benz Minivans,Metris,(Alloy Wheels),5x112,,tgp_solutions,unknown
dddcedeb-6089-4f60-a608-6563df3913ff,2018,Mercedes-Benz Vans,Sprinter 3500,(DRW),6x205,,tgp_solutions,unknown
e560d9f6-6299-45d4-ba79-c8dc38039d43,2018,Porsche,911,GT2 RS Rear GT2 RS,,,deprecated-staggered-split,unknown
957e5a9f-2ed1-4e79-b4d7-7dd90986bcb0,2018,Porsche,911,Turbo (Center Lock),,,merged-staggered,unknown
46db1ced-eb14-4db3-bd72-0b31f39466d6,2018,Porsche,911,Turbo S (Center Lock),,,merged-staggered,unknown
3a8f5a0a-5f14-4a4c-b65a-20ecb037abdc,2018,Porsche,911,Turbo S Exclusive Series (Center Lock),,,merged-staggered,unknown
623d84bb-90a5-4d81-8a30-3cd8903c4225,2018,Porsche,911,Turbo S Exclusive Series (Center Lock) Front Turbo S Exclusive Series (Center Lock),,,deprecated-staggered-split,unknown
e718cd3f-8873-4543-b684-7981f317bb2a,2018,Porsche,911,Turbo S (Center Lock) Rear Turbo S (Center Lock),,,deprecated-staggered-split,unknown
1b7f93e9-d447-4834-a922-c908574ba315,2018,Porsche,911,Carrera 4 GTS (Center Lock) Rear Carrera 4 GTS (Center Lock),,,deprecated-staggered-split,unknown
2a986a90-b350-4108-be32-c061544804b8,2018,Porsche,911,Carrera 4 GTS (Center Lock) Front Carrera 4 GTS (Center Lock),,,deprecated-staggered-split,unknown
5de686f9-fb13-4524-90f2-0f975fb32417,2018,Porsche,911,Carrera GTS (Center Lock) Rear Carrera GTS (Center Lock),,,deprecated-staggered-split,unknown
