make,our_model,epa_trim,n_years,years,epa_model_example,our_trims_example
chevrolet,tahoe,1500 xfe,1,2009,Tahoe 1500 XFE 2WD,LT | Standard | Premier | LS | Z71
chevrolet,traverse,limited,1,2024,Traverse Limited FWD,LT | LS | Premier | Standard | High Country
chrysler,300,m,1,2004,300 M,Base | Touring
chrysler,300,300c 8,1,2006,300C/SRT-8,Base | Touring | Limited
chrysler,300c,300c 8,1,2005,300C/SRT-8,SRT8 | 300S | Base | Touring L | AWD
dodge,challenger,demon 170,1,2023,Challenger SRT Demon 170,R/T | rt | SRT Hellcat Widebody | SXT | GT
dodge,charger,2 dr daytona r t 18in,1,2024,Charger 2-Dr Daytona R/T AWD 18in,Base | Sport | Daytona R/T | Daytona Scat Pack | R/T
dodge,charger,2 dr daytona r t 20in goodyear,1,2024,Charger 2-Dr Daytona R/T AWD 20in Goodyear,Base | Sport | Daytona R/T | Daytona Scat Pack | R/T
dodge,charger,2 dr daytona r t 20in nexen,1,2024,Charger 2-Dr Daytona R/T AWD 20in Nexen,Base | Sport | Daytona R/T | Daytona Scat Pack | R/T
dodge,charger,2 dr daytona scat pack track pack,1,2024,Charger 2-Dr Daytona Scat Pack Track Pack AWD,Base | Sport | Daytona R/T | Daytona Scat Pack | R/T
dodge,charger,2 dr daytona scat pack track pack a s,1,2024,Charger 2-Dr Daytona Scat Pack Track Pack AWD A/S,Base | Sport | Daytona R/T | Daytona Scat Pack | R/T
ferrari,sf90,xx,1,2025,SF90 XX Spider,SF90 Stradale/Spider | Luxury
ferrari,sf90,xx stradale,1,2025,SF90 XX Stradale,SF90 Stradale/Spider | Luxury
fiat,500,cabrio,1,2012,500 Cabrio,Base | Standard
ford,e-250-econoline,e250,1,2001,E250 CNG,Base | LS
ford,explorer,usps,1,2002,Explorer USPS Electric,Base | LS | Timberline | XLT | ST
ford,explorer,tremor,1,2026,Explorer Tremor AWD,King Ranch | Limited | Base | XLT | ST
ford,explorer-sport-trac,usps,1,2001,Explorer USPS 2WD,Base | Standard | LS
ford,f-150,sfe,1,2009,F150 SFE 2WD,FX4 | Tremor | XLT | FX2 | XL
ford,f-150,gvwr 7599 lbs payload package,1,2016,F150 5.0L 2WD FFV GVWR>7599 LBS PAYLOAD PACKAGE,XL | Platinum | Lariat | King Ranch | Limited
ford,f-150,2 7l gvwr 6649 lbs payload package,1,2016,F150 2.7L 2WD GVWR>6649 LBS PAYLOAD PACKAGE,XL | Platinum | Lariat | King Ranch | Limited
ford,f-150,2 7l gvwr 6799 lbs payload package,1,2016,F150 2.7L 4WD GVWR>6799 LBS PAYLOAD PACKAGE,XL | Platinum | Lariat | King Ranch | Limited
ford,f-150,pro extended range,1,2024,F-150 Lightning PRO 4WD Extended Range,XL | XL; XLT; Lariat; Tremor; King Ranch; Platinum | Limited | Tremor | Platinum
ford,f-150,er1,1,2025,F-150 Lightning 4WD ER1,Limited | Lightning | XL | Raptor R | Raptor
ford,f-150,pro er1,1,2025,F-150 Lightning 4WD PRO ER1,Limited | Lightning | XL | Raptor R | Raptor
ford,f-150,sr,1,2025,F-150 Lightning 4WD SR,Limited | Lightning | XL | Raptor R | Raptor
ford,f-150,er2,1,2025,F-150 Lightning 4WD ER2,Limited | Lightning | XL | Raptor R | Raptor
ford,maverick,lariat,1,2026,Maverick Lariat HEV AWD,Base | Standard
ford,mustang,performance package,1,2018,Mustang Performance Package,EcoBoost | EcoBoost Premium | GT Premium | GT | Shelby GT350
ford,mustang-mach-1,ho,1,2022,Mustang HO Coupe,Handling Package | GT Performance Pack | Base | EcoBoost
ford,mustang-mach-e,california route 1,1,2021,Mustang Mach-E RWD California Route 1,Base | GT
ford,mustang-mach-e,lfp,1,2023,Mustang Mach-E RWD LFP,Extended Range | Shelby GT500 | Base | GT
ford,mustang-shelby-gt350,ho,1,2020,Mustang HO Coupe,Base | GT Performance Pack | GT350R
gmc,acadia,limited,1,2017,Acadia Limited FWD,"SLT | Standard | SL | SL, SLE, SLT, AT4, Denali | Base"
gmc,hummer-ev-suv,mt tires,1,2024,Hummer EV Pickup MT Tires,EV2X | Standard | EV3X
gmc,hummer-ev-suv,suv mt tires,1,2024,Hummer EV SUV MT Tires,EV2X | Standard | EV3X
gmc,hummer-ev-suv,2m20,1,2024,Hummer EV Pickup 2M20,EV2X | Standard | EV3X
gmc,hummer-ev-suv,mt tires 2m20,1,2024,Hummer EV Pickup MT Tires 2M20,EV2X | Standard | EV3X
gmc,hummer-ev-suv,suv 2m20,1,2024,Hummer EV SUV 2M20,EV2X | Standard | EV3X
gmc,hummer-ev-suv,suv mt tires 2m20,1,2024,Hummer EV SUV MT Tires 2M20,EV2X | Standard | EV3X
gmc,sierra-1500,denali 1500,1,2002,Sierra Denali 1500 AWD,Base | Pro | SL | LS
gmc,sierra-1500,15,1,2004,Sierra 15 Hybrid 2WD,SL | LS | Base | Pro
gmc,sierra-1500,with sport mode,1,2026,Sierra 2WD with Sport Mode,Elevation | SLT | SLE | Base | AT4X
gmc,sierra-1500,mud terrain tires with sport mode,1,2026,Sierra Mud Terrain Tires with Sport Mode,Elevation | SLT | SLE | Base | AT4X
gmc,sierra-1500,at4x with sport mode,1,2026,Sierra 4WD AT4X with Sport Mode,Elevation | SLT | SLE | Base | AT4X
gmc,sierra-1500,ext range,1,2026,SIERRA EV Ext Range (11kW Charger),Elevation | SLT | SLE | Base | AT4X
gmc,sierra-1500,range,1,2026,SIERRA EV Std Range (11kW Charger),Elevation | SLT | SLE | Base | AT4X
gmc,sierra-2500hd,classic 1500,1,2007,Sierra Classic 1500 2WD,SLE | Pro | Base | SLT | WT
gmc,sierra-2500hd,classic 15,1,2007,Sierra Classic 15 Hybrid 2WD,SLE | Pro | Base | SLT | WT
gmc,sierra-3500hd,denali 1500,1,2003,Sierra Denali 1500 AWD,SLE | LS | SLT | Base
gmc,sierra-3500hd,ltd,1,2019,Sierra LTD C15 2WD,SLT | Pro | SLE | Denali | Base
gmc,sierra-3500hd,mud terrain tires,1,2022,Sierra Mud Terrain Tires 4WD,SLT | Pro | Base | SLE | Denali
gmc,yukon,denali xl 1500,1,2002,Yukon Denali XL 1500 AWD,"SLT | Standard | Denali | SLE | SLE, SLT, AT4, Denali, Denali Ultimate"
gmc,yukon,1500 xfe,1,2009,Yukon 1500 XFE 2WD,"SLE | Standard | Denali | SLE, SLT, AT4, Denali, Denali Ultimate | Base"
honda,cr-v,trailsport,1,2026,CR-V AWD TrailSport,EX | Touring | Sport-L Hybrid | LX | Sport Hybrid
honda,prologue,elite,1,2026,Prologue AWD Elite,Base | Performance
hyundai,elantra,non isg,1,2026,Elantra non-ISG,"SE, SEL, N Line, Limited | Base | SEL | SE | N Line"
hyundai,elantra,w stop start,1,2026,Elantra w/Stop-Start,"SE, SEL, N Line, Limited | Base | SEL | SE | N Line"
hyundai,ioniq-5,long range,1,2024,Ioniq 6 Long range RWD (20 inch Wheels),Base | SE
hyundai,ioniq-5,performance,1,2026,Ioniq 9 AWD Performance,Base | SE
hyundai,kona,long range,1,2024,Kona Electric Long Range,"SE | SEL | N Line | Limited | SE, SEL, N Line, Limited"
hyundai,kona,sx2 1 6t 8at,1,2026,Kona FWD SX2 1.6T 8AT FWD,"SE | SEL | SE, SEL, N Line, Limited | Base | Limited"
hyundai,kona,w stop start,1,2026,Kona FWD w/Stop-Start,"SE | SEL | SE, SEL, N Line, Limited | Base | Limited"
hyundai,palisade,blue,1,2026,Palisade Hybrid FWD Blue,"SEL | SE | Limited | Calligraphy | SE, SEL, XRT, Limited, Calligraphy"
hyundai,palisade,xrt pro,1,2026,Palisade XRT Pro,"SEL | SE | Limited | Calligraphy | SE, SEL, XRT, Limited, Calligraphy"
hyundai,santa-cruz,nx4 ob 2 5 8at,1,2026,Santa Cruz AWD NX4 OB 2.5 AWD 8AT,SEL | SE | SEL Premium | Limited
hyundai,santa-cruz,nx4 ob 2 5t 8at,1,2026,Santa Cruz AWD NX4 OB 2.5T AWD 8AT,SEL | SE | SEL Premium | Limited
hyundai,santa-cruz,xrt,1,2026,Santa Cruz XRT AWD,SEL | SE | SEL Premium | Limited
hyundai,santa-fe,xl,1,2019,Santa Fe XL FWD,Limited | SE | Calligraphy | 2.0 T-GDi | SEL
hyundai,santa-fe,xl ultimate,1,2019,Santa Fe XL Ultimate FWD,Limited | SE | Calligraphy | 2.0 T-GDi | SEL
hyundai,sonata,w stop start,1,2026,Sonata FWD w/Stop-Start,SEL | SE | Limited | N Line | SEL Plus
infiniti,q60,q60s red sport,1,2017,Q60S Red Sport,"Pure, Luxe, Sensory, Red Sport 400 | Premium | Pure | Luxe | Sensory"
infiniti,q70,m37x,1,2013,M37x,Base | Premium
infiniti,q70,m56x,1,2013,M56x,Base | Premium
infiniti,q70,m35h,1,2013,M35h,Base | Premium
jaguar,e-pace,p250,1,2019,E-Pace P250,"R-Dynamic | S | S, SE, HSE, R-Dynamic | SE | HSE"
jaguar,f-pace,30t,1,2020,F-Pace 30t,"S | Premium, Prestige, R-Dynamic, S, SVR | Premium | SVR | Prestige"
jaguar,f-pace,mhev,1,2025,F-Pace MHEV,R-Dynamic | S | Premium | SVR | Prestige
jaguar,f-type,svr gen2,1,2019,F-Type SVR AWD Coupe GEN2,Base | P300
jaguar,f-type,svr,1,2020,F-Type SVR AWD Coupe,Base | S
