make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
chrysler,300m,1999,1,1,0,0,0,
chrysler,lebaron,1990-1995,6,6,0,0,0,
chrysler,cirrus,1995-1999,5,5,0,0,0,
chrysler,imperial,1990-1993,4,4,0,0,0,
daewoo,lanos,1999,1,1,0,0,0,
daewoo,leganza,1999-2002,4,4,0,0,0,
daewoo,nubira,1999,1,1,0,0,0,
dodge,grand-caravan,1990-2020,111,31,0,0,0,
dodge,ram-2500,1994-2009,59,16,0,0,0,
dodge,ram-3500,1994-2009,59,16,0,0,0,
dodge,ram-1500,1994-2010,83,17,0,0,0,
dodge,ram-van-b250,1990-1993,4,4,0,0,0,
dodge,stratus,1995-1999,5,5,0,0,0,
dodge,caravan,1990-2007,34,18,0,0,0,
dodge,intrepid,1993-2004,23,12,0,0,0,
dodge,ram-van-b2500,1994-1995,2,2,0,0,0,
dodge,ram-van-b3500,1994-1995 1999,3,3,0,0,0,
dodge,ram-van-b1500,1994-1999,6,6,0,0,0,
dodge,ram-van-b350,1990,1,1,0,0,0,
dodge,viper,1992-2006 2008-2010 2013-2017,73,23,0,0,0,
dodge,dakota,1990-1999,10,10,0,0,0,
dodge,monaco,1990-1992,3,3,0,0,0,
dodge,neon,1995-1999,5,5,0,0,0,
dodge,caliber,2006-2012,7,7,0,0,0,
dodge,dynasty,1990-1993,4,4,0,0,0,
dodge,nitro,2007-2012,6,6,0,0,0,
dodge,ram-van-b150,1990,1,1,0,0,0,
dodge,journey,2009-2020,15,12,0,0,0,
dodge,spirit,1990-1995,6,6,0,0,0,
dodge,stealth,1991-1992 1994-1996,5,5,0,0,0,
dodge,avenger,1995-1999,5,5,0,0,0,
dodge,magnum,2005-2008,4,4,0,0,0,
dodge,colt,1990-1994,5,5,0,0,0,
ferrari,california-t,2018,1,1,0,0,0,
ferrari,gtc4lusso-t,2018,2,1,0,0,0,
ferrari,488-gtb,2018,1,1,0,0,0,
ferrari,488-spider,2018,1,1,0,0,0,
ferrari,812-superfast,2018,1,1,0,0,0,
ferrari,gtc4lusso,2018,2,1,0,0,0,
fiat,500,2012-2025,23,14,0,0,0,
fiat,500l,2018,3,1,0,0,0,
ford,f-450-super-duty,2000-2017 2019-2026,70,26,0,0,0,
ford,mustang-shelby-gt500,2007-2014 2020-2023,27,12,0,0,0,
ford,f-150,1990-1991 2000-2026,232,29,0,0,0,
ford,f-250,1990 2000-2026,152,28,0,0,0,
ford,e-250-econoline,1990-2014,25,25,0,0,0,
ford,club-wagon-e-150,1990-1999,10,10,0,0,0,
ford,crown-victoria,1990-2007,26,18,0,0,0,
ford,e-350-econoline,1990-2014,25,25,0,0,0,
ford,explorer-sport-trac,2001-2005 2007-2010,18,9,0,0,0,
ford,mustang-shelby-gt350,2011-2013 2015-2017 2019-2020,15,8,0,0,0,
ford,explorer,1991-2026,285,36,0,0,0,
ford,edge,2007-2024,67,18,0,0,0,
ford,bronco,1990-1991 2021-2026,44,8,0,0,0,
ford,e-150-econoline,1990-2014,25,25,0,0,0,
ford,escort-zx2,2000-2003,8,4,0,0,0,
ford,taurus-sho,1990-1999,10,10,0,0,0,
ford,mustang,1990-2026,134,37,0,0,0,
ford,f-350,1990 2000-2026,143,28,0,0,0,
ford,mustang-mach-1,2003-2004 2019-2023,15,7,0,0,0,
ford,expedition,1997-2026,211,30,0,0,0,
ford,f-350-super-duty,2018,27,1,0,0,0,
ford,bronco-sport,2021-2026,19,6,0,0,0,
ford,e-150,2000-2014,60,15,0,0,0,
ford,transit,2015-2017 2019-2025,10,10,0,0,0,
ford,excursion,2000-2005,6,6,0,0,0,
ford,f-250-super-duty,2018,13,1,0,0,0,
ford,transit-connect,2018,9,1,0,0,0,
ford,transit-350-hd,2018,3,1,0,0,0,
ford,aerostar,1990-1997,8,8,0,0,0,
ford,escort,1990-1999,10,10,0,0,0,
ford,probe,1990-1997,8,8,0,0,0,
ford,thunderbird,1990-1997 2002-2005,12,12,0,0,0,
ford,windstar,1995-1999,5,5,0,0,0,
ford,contour,1995-1999,5,5,0,0,0,
ford,gt,2005-2006 2017-2022,8,8,0,0,0,
ford,c-max,2018,2,1,0,0,0,
ford,ecosport,2018,5,1,0,0,0,
ford,transit-150,2018,3,1,0,0,0,
ford,transit-250,2018,1,1,0,0,0,
ford,transit-350,2018,3,1,0,0,0,
genesis,gv70,2022-2026,25,5,0,0,0,
genesis,gv80,2021-2026,18,6,0,0,0,
genesis,g70,2019-2026,32,8,0,0,0,
genesis,g90,2017-2026,38,10,0,0,0,
genesis,g80,2017-2026,48,10,0,0,0,
geo,metro,1990-2001,12,8,0,4,0,
geo,storm,1990-1993,4,4,0,0,0,
geo,prizm,1990-2002,13,8,0,5,0,
gmc,savana-3500,2000-2026,138,27,0,0,0,
gmc,savana-1500,2000-2014,60,15,0,0,0,
gmc,sierra-2500hd,1990-2026,154,37,0,0,0,
gmc,sierra-3500hd,1990-2026,130,37,0,0,0,
gmc,savana-2500,2000-2026,111,27,0,0,0,
gmc,envoy,2002-2009,24,8,0,0,0,
gmc,sierra-1500,1990-2026,181,37,0,0,0,
gmc,canyon,2004-2012 2015-2026,106,21,0,0,0,
gmc,yukon,1992-2026,217,35,0,0,0,
gmc,yukon-xl,2018 2021-2024,7,5,0,0,0,
gmc,sierra,1990-1999,10,10,0,0,0,
gmc,terrain,2009-2026,103,18,0,0,0,
gmc,hummer-ev-suv,2022-2024,6,3,0,0,0,
gmc,suburban,1990-1999,10,10,0,0,0,
gmc,c/k-1500,1990-1998,36,9,0,0,0,
